classifier,accuracy,precision,recall,f1,time
BernoulliNB,0.581,0.585,0.581,0.577,0.016
BernoulliNB,0.589,0.594,0.589,0.588,0.016
BernoulliNB,0.583,0.586,0.583,0.579,0.016
BernoulliNB,0.577,0.581,0.577,0.574,0.016
BernoulliNB,0.583,0.588,0.583,0.580,0.016
BernoulliNB,0.581,0.588,0.581,0.579,0.016
BernoulliNB,0.584,0.593,0.584,0.582,0.016
BernoulliNB,0.582,0.584,0.582,0.579,0.016
BernoulliNB,0.585,0.587,0.585,0.581,0.016
BernoulliNB,0.585,0.586,0.585,0.580,0.016
KNeighborsClassifier,0.442,0.442,0.442,0.437,0.000
KNeighborsClassifier,0.443,0.443,0.443,0.439,0.016
KNeighborsClassifier,0.447,0.452,0.447,0.443,0.016
KNeighborsClassifier,0.453,0.457,0.453,0.449,0.000
KNeighborsClassifier,0.444,0.446,0.444,0.439,0.016
KNeighborsClassifier,0.451,0.454,0.451,0.447,0.016
KNeighborsClassifier,0.448,0.450,0.448,0.443,0.016
KNeighborsClassifier,0.461,0.462,0.461,0.456,0.000
KNeighborsClassifier,0.453,0.454,0.453,0.447,0.000
KNeighborsClassifier,0.441,0.446,0.441,0.437,0.016
LinearSVC,0.602,0.601,0.602,0.595,0.891
LinearSVC,0.608,0.611,0.608,0.603,1.172
LinearSVC,0.601,0.604,0.601,0.595,1.031
LinearSVC,0.601,0.602,0.601,0.595,1.234
LinearSVC,0.600,0.601,0.600,0.595,0.906
LinearSVC,0.596,0.592,0.596,0.588,0.922
LinearSVC,0.584,0.582,0.584,0.577,0.891
LinearSVC,0.587,0.585,0.587,0.581,0.891
LinearSVC,0.594,0.597,0.594,0.589,0.891
LinearSVC,0.594,0.595,0.594,0.589,1.000
LogisticRegression,0.593,0.606,0.593,0.581,11.938
LogisticRegression,0.597,0.610,0.597,0.588,9.703
LogisticRegression,0.594,0.601,0.594,0.582,10.375
LogisticRegression,0.587,0.594,0.587,0.576,10.266
LogisticRegression,0.593,0.598,0.593,0.583,9.906
LogisticRegression,0.595,0.601,0.595,0.584,9.688
LogisticRegression,0.594,0.605,0.594,0.585,9.906
LogisticRegression,0.596,0.601,0.596,0.585,10.344
LogisticRegression,0.612,0.625,0.612,0.604,11.812
LogisticRegression,0.591,0.596,0.591,0.581,9.781
MultinomialNB,0.484,0.558,0.484,0.432,0.016
MultinomialNB,0.479,0.579,0.479,0.428,0.062
MultinomialNB,0.477,0.600,0.477,0.426,0.000
MultinomialNB,0.480,0.590,0.480,0.426,0.000
MultinomialNB,0.479,0.555,0.479,0.431,0.062
MultinomialNB,0.482,0.623,0.482,0.436,0.016
MultinomialNB,0.478,0.574,0.478,0.426,0.062
MultinomialNB,0.483,0.603,0.483,0.435,0.062
MultinomialNB,0.473,0.579,0.473,0.423,0.000
MultinomialNB,0.497,0.619,0.497,0.450,0.062
RandomForestClassifier,0.395,0.607,0.395,0.290,0.812
RandomForestClassifier,0.378,0.618,0.378,0.267,0.828
RandomForestClassifier,0.376,0.563,0.376,0.264,0.906
RandomForestClassifier,0.386,0.596,0.386,0.280,0.812
RandomForestClassifier,0.383,0.586,0.383,0.276,0.844
RandomForestClassifier,0.388,0.623,0.388,0.280,0.828
RandomForestClassifier,0.379,0.603,0.379,0.266,0.812
RandomForestClassifier,0.381,0.619,0.381,0.273,0.812
RandomForestClassifier,0.390,0.631,0.390,0.286,0.828
RandomForestClassifier,0.380,0.615,0.380,0.267,0.812
